Station Name,Date,Min Temp,Max Temp,First Temp,Last Temp
63rd Street Weather Station,12/31/2016,-1.3,5.6,3.5,-1.3
63rd Street Weather Station,12/30/2016,-2.8,3.6,0.6,3.6
63rd Street Weather Station,12/29/2016,0.4,2.8,2.8,1.1
63rd Street Weather Station,12/28/2016,-2.2,7.1,-1.9,3.3
63rd Street Weather Station,12/27/2016,-2.5,-0.3,-0.5,-1.5
63rd Street Weather Station,12/26/2016,-0.1,12.9,5.8,-0.1
63rd Street Weather Station,12/25/2016,0.8,4.4,1.5,4.4
63rd Street Weather Station,12/24/2016,1.4,2.8,2.3,1.9
63rd Street Weather Station,12/23/2016,-0.6,3.3,-0.6,2.2
63rd Street Weather Station,12/22/2016,-0.9,4.7,1.5,-0.9
63rd Street Weather Station,12/21/2016,-4.3,3.5,-3.6,1.9
63rd Street Weather Station,12/20/2016,-7.7,-0.6,-7.6,-3.2
63rd Street Weather Station,12/19/2016,-19.5,-8.6,-18.6,-8.6
63rd Street Weather Station,12/18/2016,-18.1,-6.3,-6.3,-18.1
63rd Street Weather Station,12/17/2016,-6.1,-3.0,-4.6,-5.2
63rd Street Weather Station,12/16/2016,-9.1,-5.0,-9.1,-5.0
63rd Street Weather Station,12/15/2016,-16.4,-10.9,-14.1,-10.9
63rd Street Weather Station,12/14/2016,-13.7,-6.0,-13.0,-13.7
63rd Street Weather Station,12/13/2016,-12.9,-3.7,-6.7,-12.9
63rd Street Weather Station,12/12/2016,-7.7,1.5,1.5,-6.8
63rd Street Weather Station,12/11/2016,-4.1,1.1,-4.1,1.1
63rd Street Weather Station,12/10/2016,-5.9,-3.6,-5.7,-4.1
63rd Street Weather Station,12/09/2016,-6.3,-2.9,-4.2,-6.3
63rd Street Weather Station,12/08/2016,-7.3,-3.7,-3.7,-4.0
63rd Street Weather Station,12/07/2016,-4.2,-0.4,-1.5,-3.7
63rd Street Weather Station,12/06/2016,-1.3,5.3,3.2,-1.3
63rd Street Weather Station,12/05/2016,0.6,3.2,0.8,3.2
63rd Street Weather Station,12/04/2016,0.6,2.4,0.6,0.8
63rd Street Weather Station,12/03/2016,0.9,2.4,2.4,1.0
63rd Street Weather Station,12/02/2016,2.7,5.0,3.7,2.7
63rd Street Weather Station,12/01/2016,3.2,5.2,3.5,3.8
63rd Street Weather Station,11/30/2016,3.3,9.2,9.2,3.5
63rd Street Weather Station,11/29/2016,8.4,14.5,11.8,9.8
63rd Street Weather Station,11/28/2016,5.5,11.4,7.6,11.2
63rd Street Weather Station,11/27/2016,2.6,7.6,4.4,7.6
63rd Street Weather Station,11/26/2016,1.8,7.7,2.8,5.1
63rd Street Weather Station,11/25/2016,3.0,5.9,3.0,3.3
63rd Street Weather Station,11/24/2016,3.0,7.5,7.5,3.0
63rd Street Weather Station,11/23/2016,3.8,7.8,4.6,7.8
63rd Street Weather Station,11/22/2016,1.3,5.0,4.1,5.0
63rd Street Weather Station,11/21/2016,-1.3,4.3,-0.6,4.2
63rd Street Weather Station,11/20/2016,-2.8,1.8,-0.9,-0.4
63rd Street Weather Station,11/19/2016,0.4,5.0,5.0,0.4
63rd Street Weather Station,11/18/2016,5.4,19.3,19.3,5.4
63rd Street Weather Station,11/17/2016,10.7,23.0,11.6,20.0
63rd Street Weather Station,11/16/2016,6.9,12.5,9.3,12.4
63rd Street Weather Station,11/15/2016,7.1,11.4,10.4,9.9
63rd Street Weather Station,11/14/2016,5.7,16.5,8.2,10.9
63rd Street Weather Station,11/13/2016,3.6,13.9,6.0,8.9
63rd Street Weather Station,11/12/2016,4.1,11.5,9.1,6.4
63rd Street Weather Station,11/11/2016,9.0,14.9,13.6,9.1
63rd Street Weather Station,11/10/2016,7.1,17.8,8.0,13.5
63rd Street Weather Station,11/09/2016,7.9,12.8,11.5,8.6
63rd Street Weather Station,11/08/2016,11.7,17.0,13.6,11.7
63rd Street Weather Station,11/07/2016,10.8,19.7,13.8,13.8
63rd Street Weather Station,11/06/2016,10.4,20.8,13.3,15.7
63rd Street Weather Station,11/05/2016,9.6,20.3,11.8,14.0
63rd Street Weather Station,11/04/2016,11.9,13.6,13.2,11.9
63rd Street Weather Station,11/03/2016,11.2,13.9,13.6,13.5
63rd Street Weather Station,11/02/2016,13.8,19.8,19.8,13.8
63rd Street Weather Station,11/01/2016,16.5,24.9,16.5,20.3
63rd Street Weather Station,10/31/2016,8.1,15.9,11.1,15.9
63rd Street Weather Station,10/30/2016,10.9,14.3,14.3,11.0
63rd Street Weather Station,10/29/2016,14.4,22.8,18.2,14.4
63rd Street Weather Station,10/28/2016,6.6,18.2,8.2,18.2
63rd Street Weather Station,10/27/2016,7.8,11.6,10.6,8.7
63rd Street Weather Station,10/26/2016,8.6,11.6,11.6,10.4
63rd Street Weather Station,10/25/2016,7.9,12.0,11.8,11.8
63rd Street Weather Station,10/24/2016,9.6,14.2,14.2,11.7
63rd Street Weather Station,10/23/2016,9.0,23.0,12.5,14.3
63rd Street Weather Station,10/22/2016,6.0,15.8,7.3,13.0
63rd Street Weather Station,10/21/2016,7.7,10.8,10.8,7.7
63rd Street Weather Station,10/20/2016,11.6,16.7,16.7,11.6
